threshold,market,start,end,L,close0,close_end,band_hi_pct,band_lo_pct,d_nc_net,d_nc_net_pct_oi,nc_net_end,oi_avg,dir,fwd4,fwd8,fwd12
0.08,可可 (ICE),2022-05-03,2022-06-14,6,2472.0,2442.0,0.0,-2.47,-43245,13.0,-11479,332753,减仓,-4.668304668304668,-2.047502047502048,-1.4332514332514368
0.08,可可 (ICE),2022-11-01,2022-12-13,6,2428.0,2470.0,4.53,0.0,38825,11.8,10490,329121,增仓,7.489878542510131,6.153846153846154,9.23076923076922
0.08,可可 (ICE),2023-01-17,2023-02-28,6,2655.0,2760.0,4.63,-3.54,33672,9.26,47141,363659,增仓,6.195652173913047,6.376811594202891,8.695652173913038
0.08,糖 11号 (ICE),2012-10-09,2012-11-27,7,20.05,19.34,1.15,-4.94,-72932,8.77,29119,831198,减仓,-0.7755946225439403,-6.049638055842799,-3.3609100310237783
0.08,糖 11号 (ICE),2013-01-15,2013-04-09,12,18.46,18.06,1.9,-4.55,-76578,8.16,-37034,938208,减仓,-3.70985603543742,-9.02547065337762,-10.077519379844968
0.08,糖 11号 (ICE),2013-07-23,2013-09-24,9,16.47,16.81,4.25,-0.85,119284,11.73,113710,1017323,增仓,13.325401546698412,3.985722784057111,-2.320047590719787
0.08,糖 11号 (ICE),2013-12-03,2013-12-31,4,16.58,16.08,0.0,-3.02,-82559,8.25,24623,1001146,减仓,-2.985074626865658,9.825870646766187,11.815920398009961
0.08,糖 11号 (ICE),2014-02-25,2014-04-08,6,17.66,16.8,1.98,-4.87,95293,9.74,166453,978869,增仓,2.3809523809523725,0.7142857142857117,6.0119047619047405
0.08,糖 11号 (ICE),2014-05-20,2014-07-22,9,17.37,17.14,3.17,-2.99,-117651,11.91,72758,987433,减仓,-8.751458576429405,-21.236872812135353,-3.033838973162195
0.08,糖 11号 (ICE),2014-12-23,2015-01-27,5,14.7,14.79,4.29,-3.61,91586,9.2,70147,995409,增仓,-6.896551724137934,-17.98512508451655,-10.547667342799183
0.08,糖 11号 (ICE),2015-04-07,2015-05-12,5,12.83,12.89,4.6,0.0,113991,11.0,75423,1036043,增仓,-9.076803723816907,-3.723816912335143,-17.30023273855702
0.08,糖 11号 (ICE),2018-11-06,2019-01-08,7,12.73,12.76,1.1,-3.06,-123241,12.38,-44394,995246,减仓,-0.39184952978055243,-4.545454545454541,0.0
0.08,糖 11号 (ICE),2019-03-12,2019-04-23,6,12.52,12.26,2.0,-2.08,86826,8.4,5144,1033039,增仓,-4.893964110929849,-0.2446982055464897,-5.464926590538333
0.08,糖 11号 (ICE),2019-04-30,2019-05-28,4,12.01,12.1,0.75,-3.83,-123179,11.08,-145405,1112147,减仓,4.297520661157028,-0.6611570247933907,-5.2066115702479205
0.08,糖 11号 (ICE),2019-06-04,2019-07-09,5,12.5,12.3,2.0,-2.16,117659,11.11,-8843,1059001,增仓,-3.577235772357734,-10.406504065040656,3.7398373983739797
0.08,糖 11号 (ICE),2019-07-16,2019-09-03,7,11.59,11.02,3.71,-4.92,-112909,9.89,-156591,1141693,减仓,15.789473684210531,13.248638838475513,17.422867513611617
0.08,糖 11号 (ICE),2019-10-22,2019-11-19,4,12.35,12.83,3.89,0.0,98778,9.0,-104865,1097169,增仓,5.533904910366316,12.626656274356973,17.381137957911143
0.08,糖 11号 (ICE),2019-11-26,2019-12-24,4,12.94,13.54,4.64,0.0,144362,12.36,56895,1167690,增仓,6.27769571639587,15.140324963072382,-19.42392909896602
0.08,糖 11号 (ICE),2020-07-28,2020-08-25,4,12.64,12.6,3.64,-0.32,97509,8.24,236597,1182866,增仓,3.1746031746031855,16.825396825396833,20.71428571428573
0.08,糖 11号 (ICE),2021-04-13,2021-05-11,4,16.72,16.96,4.61,0.0,102283,8.55,301721,1196902,增仓,3.4198113207547065,1.8867924528301883,10.14150943396226
0.08,糖 11号 (ICE),2021-08-17,2021-10-26,10,19.58,19.27,3.63,-4.03,-114258,9.91,187631,1153172,减仓,0.4151530877011034,-0.15568240788791377,-1.9200830306175476
0.08,糖 11号 (ICE),2021-12-28,2022-02-15,7,18.88,18.2,0.11,-4.4,-103273,10.01,77060,1031564,减仓,4.010989010989019,10.219780219780228,5.329670329670333
0.08,糖 11号 (ICE),2022-03-01,2022-03-29,4,19.35,19.37,1.34,-2.17,78927,8.21,166573,961290,增仓,-1.135776974703162,1.23902942694889,-5.162622612287038
0.08,糖 11号 (ICE),2022-04-19,2022-06-14,8,19.24,18.6,3.69,-3.33,-90819,9.21,164185,986119,减仓,3.4946236559139754,0.0,-2.04301075268819
0.08,糖 11号 (ICE),2022-06-21,2022-08-09,7,18.37,18.6,4.79,-4.52,-163388,18.49,-9197,883695,减仓,-2.04301075268819,0.4301075268817067,0.5913978494623606
0.08,糖 11号 (ICE),2022-09-20,2022-10-18,4,18.28,18.38,3.06,-3.45,98725,11.74,118046,840942,增仓,9.08596300326443,9.30359085963004,7.3449401523395075
0.08,糖 11号 (ICE),2022-11-08,2022-12-13,5,19.64,20.09,2.29,-1.83,124814,12.2,206793,1023397,增仓,-1.7919362867098054,7.41662518666002,5.326032852165263
0.08,糖 11号 (ICE),2025-06-17,2025-09-09,12,16.06,15.81,4.55,-2.99,-85509,8.37,-139553,1021736,减仓,1.834282099936746,-10.626185958254265,-4.4908285895003175
0.08,咖啡 C (ICE),2011-05-10,2011-06-07,4,269.4,268.35,0.0,-3.8,-16626,9.52,11237,174629,减仓,-1.7514440096888517,-11.626607043040815,7.341158934227687
0.08,咖啡 C (ICE),2012-08-07,2012-09-04,4,169.35,164.35,0.0,-4.19,-18268,9.21,-18414,198446,减仓,2.2817158503194435,-5.871615454822033,-8.366291451171282
0.08,咖啡 C (ICE),2012-10-09,2012-11-06,4,161.7,155.55,0.0,-4.33,-18113,8.46,-21918,214190,减仓,-1.0928961748634003,0.06428801028608433,-9.868209578913545
0.08,咖啡 C (ICE),2013-02-19,2013-05-14,12,140.2,137.05,2.85,-4.46,27834,12.95,1577,214860,增仓,-9.668004377964257,-13.09740970448743,-8.719445457862108
0.08,咖啡 C (ICE),2013-12-10,2014-01-14,5,115.45,117.25,4.29,-0.26,20090,11.29,4843,177987,增仓,21.364605543710024,69.21108742004265,73.60341151385927
0.08,咖啡 C (ICE),2015-11-17,2016-01-05,7,124.4,119.0,2.05,-4.34,21676,10.72,-5076,202129,增仓,1.17647058823529,1.722689075630246,6.932773109243695
0.08,咖啡 C (ICE),2016-03-22,2016-05-03,6,127.55,124.5,0.0,-4.74,-31246,13.08,-2553,238848,减仓,-2.5702811244979973,17.59036144578314,17.429718875501997
0.08,咖啡 C (ICE),2016-12-06,2017-01-03,4,139.35,136.15,2.22,-2.3,-19006,8.54,13896,222580,减仓,7.418288652221805,5.251560778553066,2.313624678663251
0.08,咖啡 C (ICE),2017-04-18,2017-06-06,7,132.9,128.85,2.11,-3.05,-38534,15.45,-18603,249415,减仓,3.7640667442762954,11.64144353899883,0.15521924718666646
0.08,咖啡 C (ICE),2017-09-26,2017-11-07,6,128.05,130.9,2.23,-3.2,-32159,12.33,-40610,260772,减仓,-6.340718105423992,-8.021390374331549,-8.021390374331549
0.08,咖啡 C (ICE),2018-02-13,2018-04-17,9,120.45,117.7,1.45,-2.7,-25009,8.56,-61659,292013,减仓,0.2548853016142605,-0.12744265080714134,-6.627017841971106
0.08,咖啡 C (ICE),2018-06-05,2018-07-03,4,117.25,114.1,0.26,-2.69,-40744,12.56,-70501,324359,减仓,-5.5652936021034165,-10.780017528483787,-10.21034180543382
0.08,咖啡 C (ICE),2018-10-09,2018-11-20,6,116.55,110.95,4.76,-4.8,50349,14.81,-25889,340058,增仓,-10.139702568724651,-6.534474988733663,-9.59891843172601
0.08,咖啡 C (ICE),2018-12-04,2019-02-26,10,104.0,100.3,1.35,-4.13,-27747,8.18,-64283,339161,减仓,-5.7826520438683975,-6.281156530408771,-7.07876370887337
0.08,咖啡 C (ICE),2019-07-23,2019-09-03,6,99.75,96.55,1.05,-4.61,-35333,10.89,-41631,324502,减仓,2.071465561885044,7.716209218021763,23.355774210253742
0.08,咖啡 C (ICE),2020-09-29,2020-11-10,6,109.4,112.15,2.51,-4.57,-31821,9.49,15844,335212,减仓,7.80205082478822,13.909942041908163,9.228711547035218
0.08,咖啡 C (ICE),2022-03-01,2022-03-29,4,224.2,228.4,1.87,-1.85,-30461,10.66,30991,285685,减仓,-2.7583187390542996,0.04378283712784814,-0.8318739054290702
0.08,咖啡 C (ICE),2023-04-04,2023-05-02,4,184.25,187.95,4.72,0.0,21922,9.38,32407,233736,增仓,-3.7776004256451112,-15.403032721468469,-14.126097366320822
0.08,咖啡 C (ICE),2023-08-22,2023-09-19,4,151.95,150.2,4.8,-1.15,18484,8.39,-7552,220312,增仓,10.286284953395475,11.185086551264977,26.498002663115862
0.08,咖啡 C (ICE),2023-10-17,2023-11-21,5,165.65,167.6,3.17,-3.14,36164,15.42,29531,234523,增仓,15.87112171837708,7.4284009546539576,11.097852028639622
0.1,可可 (ICE),2012-06-05,2012-07-10,5,2205.0,2216.0,3.9,-4.22,24060,12.71,12405,189285,增仓,10.920577617328519,17.824909747292427,7.490974729241873
0.1,可可 (ICE),2012-12-18,2013-01-29,4,2312.0,2199.0,0.0,-4.89,-24817,11.12,18368,223138,减仓,-5.457025920873127,-1.4552069122328315,7.639836289222379
0.1,可可 (ICE),2013-04-16,2013-05-14,4,2340.0,2308.0,3.08,-1.5,23878,10.28,52234,232328,增仓,-2.512998266897748,-3.119584055459268,7.01906412478337
0.1,可可 (ICE),2013-06-11,2013-07-09,4,2250.0,2236.0,0.0,-4.18,-24003,11.68,27911,205487,减仓,10.465116279069765,8.407871198568873,17.397137745974955
0.1,可可 (ICE),2014-02-18,2014-05-13,12,2962.0,2915.0,1.76,-3.38,-33074,13.99,52471,236360,减仓,6.5180102915952,6.003430531732423,10.737564322469972
0.1,可可 (ICE),2014-12-09,2015-01-20,6,2865.0,2953.0,3.84,0.0,23944,10.35,64780,231415,增仓,-0.8465966813410053,-6.400270910938033,-3.6572976633931553
0.1,可可 (ICE),2015-03-10,2015-04-07,4,2816.0,2784.0,0.0,-2.7,-35349,14.49,27636,243969,减仓,5.962643678160928,11.458333333333325,17.45689655172413
0.1,可可 (ICE),2015-07-21,2015-08-25,5,3194.0,3073.0,0.28,-4.16,-31054,12.65,38413,245569,减仓,6.280507647250233,2.017572404816148,9.892613081679148
0.1,可可 (ICE),2015-10-27,2015-12-08,6,3259.0,3357.0,4.14,-1.14,30828,10.73,70034,287353,增仓,-10.694072088173968,-16.68156091748585,-10.7536490914507
0.1,可可 (ICE),2016-05-10,2016-06-07,4,2973.0,3097.0,4.17,-1.75,-27792,10.01,27228,277613,减仓,-3.454956409428478,-2.9706167258637395,-6.490151759767516
0.1,可可 (ICE),2019-02-05,2019-03-26,7,2231.0,2286.0,4.84,-3.23,-40115,14.41,-31483,278314,减仓,2.012248468941391,7.655293088363946,9.40507436570428
0.1,可可 (ICE),2019-04-02,2019-06-25,12,2413.0,2435.0,3.65,-4.43,68392,23.97,47727,285381,增仓,-1.8069815195071892,-8.501026694045176,1.642710472279263
0.1,可可 (ICE),2019-08-06,2019-09-03,4,2257.0,2215.0,0.0,-2.7,-49798,16.8,-21439,296437,减仓,11.873589164785558,11.01580135440181,15.30474040632055
0.1,可可 (ICE),2019-09-17,2019-11-05,7,2475.0,2492.0,1.66,-1.29,46102,13.71,37822,336217,增仓,4.97592295345104,1.1235955056179803,10.95505617977528
0.1,可可 (ICE),2021-03-16,2021-05-04,7,2479.0,2469.0,0.0,-3.99,-37432,17.19,12956,217726,减仓,-2.3896314297286336,-6.034831915755367,-4.455245038477118
0.1,可可 (ICE),2021-06-01,2021-07-20,7,2410.0,2320.0,0.0,-4.15,-31006,12.12,-10461,255723,减仓,10.301724137931046,14.655172413793105,12.456896551724128
0.1,可可 (ICE),2022-05-03,2022-06-14,6,2472.0,2442.0,0.0,-2.47,-43245,13.0,-11479,332753,减仓,-4.668304668304668,-2.047502047502048,-1.4332514332514368
0.1,可可 (ICE),2022-11-01,2022-12-13,6,2428.0,2470.0,4.53,0.0,38825,11.8,10490,329121,增仓,7.489878542510131,6.153846153846154,9.23076923076922
0.1,糖 11号 (ICE),2013-07-23,2013-09-24,9,16.47,16.81,4.25,-0.85,119284,11.73,113710,1017323,增仓,13.325401546698412,3.985722784057111,-2.320047590719787
0.1,糖 11号 (ICE),2014-05-20,2014-07-22,9,17.37,17.14,3.17,-2.99,-117651,11.91,72758,987433,减仓,-8.751458576429405,-21.236872812135353,-3.033838973162195
0.1,糖 11号 (ICE),2015-04-07,2015-05-12,5,12.83,12.89,4.6,0.0,113991,11.0,75423,1036043,增仓,-9.076803723816907,-3.723816912335143,-17.30023273855702
0.1,糖 11号 (ICE),2018-11-06,2019-01-08,7,12.73,12.76,1.1,-3.06,-123241,12.38,-44394,995246,减仓,-0.39184952978055243,-4.545454545454541,0.0
0.1,糖 11号 (ICE),2019-04-30,2019-05-28,4,12.01,12.1,0.75,-3.83,-123179,11.08,-145405,1112147,减仓,4.297520661157028,-0.6611570247933907,-5.2066115702479205
0.1,糖 11号 (ICE),2019-06-04,2019-07-09,5,12.5,12.3,2.0,-2.16,117659,11.11,-8843,1059001,增仓,-3.577235772357734,-10.406504065040656,3.7398373983739797
0.1,糖 11号 (ICE),2019-11-26,2019-12-24,4,12.94,13.54,4.64,0.0,144362,12.36,56895,1167690,增仓,6.27769571639587,15.140324963072382,-19.42392909896602
0.1,糖 11号 (ICE),2021-12-28,2022-02-15,7,18.88,18.2,0.11,-4.4,-103273,10.01,77060,1031564,减仓,4.010989010989019,10.219780219780228,5.329670329670333
0.1,糖 11号 (ICE),2022-06-21,2022-08-09,7,18.37,18.6,4.79,-4.52,-163388,18.49,-9197,883695,减仓,-2.04301075268819,0.4301075268817067,0.5913978494623606
0.1,糖 11号 (ICE),2022-09-20,2022-10-18,4,18.28,18.38,3.06,-3.45,98725,11.74,118046,840942,增仓,9.08596300326443,9.30359085963004,7.3449401523395075
0.1,糖 11号 (ICE),2022-11-08,2022-12-13,5,19.64,20.09,2.29,-1.83,124814,12.2,206793,1023397,增仓,-1.7919362867098054,7.41662518666002,5.326032852165263
0.1,咖啡 C (ICE),2013-02-19,2013-05-14,12,140.2,137.05,2.85,-4.46,27834,12.95,1577,214860,增仓,-9.668004377964257,-13.09740970448743,-8.719445457862108
0.1,咖啡 C (ICE),2013-12-10,2014-01-14,5,115.45,117.25,4.29,-0.26,20090,11.29,4843,177987,增仓,21.364605543710024,69.21108742004265,73.60341151385927
0.1,咖啡 C (ICE),2015-11-17,2016-01-05,7,124.4,119.0,2.05,-4.34,21676,10.72,-5076,202129,增仓,1.17647058823529,1.722689075630246,6.932773109243695
0.1,咖啡 C (ICE),2016-03-22,2016-05-03,6,127.55,124.5,0.0,-4.74,-31246,13.08,-2553,238848,减仓,-2.5702811244979973,17.59036144578314,17.429718875501997
0.1,咖啡 C (ICE),2017-04-18,2017-06-06,7,132.9,128.85,2.11,-3.05,-38534,15.45,-18603,249415,减仓,3.7640667442762954,11.64144353899883,0.15521924718666646
0.1,咖啡 C (ICE),2017-09-26,2017-11-07,6,128.05,130.9,2.23,-3.2,-32159,12.33,-40610,260772,减仓,-6.340718105423992,-8.021390374331549,-8.021390374331549
0.1,咖啡 C (ICE),2018-06-05,2018-07-03,4,117.25,114.1,0.26,-2.69,-40744,12.56,-70501,324359,减仓,-5.5652936021034165,-10.780017528483787,-10.21034180543382
0.1,咖啡 C (ICE),2018-10-09,2018-11-20,6,116.55,110.95,4.76,-4.8,50349,14.81,-25889,340058,增仓,-10.139702568724651,-6.534474988733663,-9.59891843172601
0.1,咖啡 C (ICE),2019-07-23,2019-09-03,6,99.75,96.55,1.05,-4.61,-35333,10.89,-41631,324502,减仓,2.071465561885044,7.716209218021763,23.355774210253742
0.1,咖啡 C (ICE),2022-03-01,2022-03-29,4,224.2,228.4,1.87,-1.85,-30461,10.66,30991,285685,减仓,-2.7583187390542996,0.04378283712784814,-0.8318739054290702
0.1,咖啡 C (ICE),2023-10-17,2023-11-21,5,165.65,167.6,3.17,-3.14,36164,15.42,29531,234523,增仓,15.87112171837708,7.4284009546539576,11.097852028639622
